"co_grupo";"co_sub_grupo";"co_forma_organizacao";"co_procedimento";"no_procedimento"
"01";"02";"01";"0102010293";"LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS                                                                                                                                                                                  "
"01";"02";"01";"0102010307";"CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                                                                                                                                    "
"01";"02";"01";"0102010315";"INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS                                                                                                                                                                                                           "
"01";"02";"01";"0102010323";"LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS                                                                                                                                                                                                     "
"01";"02";"01";"0102010331";"CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA                                                                                                                                                                        "
"01";"02";"01";"0102010340";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.                                                                                                                                                             "
"01";"02";"01";"0102010358";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA                                                                                                                                                         "
"01";"02";"01";"0102010366";"CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                                                                                                                         "
"01";"02";"01";"0102010374";"INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                                                                                                               "
"01";"02";"01";"0102010382";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA                                                                                                                                                                          "
"01";"02";"01";"0102010390";"CADASTRO DE SERVIÇOS DE HEMOTERAPIA                                                                                                                                                                                                                       "
"01";"02";"01";"0102010404";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA                                                                                                                                                                                                             "
"01";"02";"01";"0102010412";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA                                                                                                                                                                                                        "
"01";"02";"01";"0102010420";"CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                                                                                                                        "
"01";"02";"01";"0102010439";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                                                                                                              "
"01";"02";"01";"0102010447";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA                                                                                                                                                                                         "
"01";"02";"01";"0102010455";"CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                                                                                                                       "
"01";"02";"01";"0102010463";"INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                                                                                                             "
"01";"02";"01";"0102010471";"LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO                                                                                                                                                                                                        "
"01";"02";"01";"0102010480";"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚBLICOS OU PRIVADOS                                                                                                                                       "
"01";"02";"01";"0102010498";"LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA                                                                                                                                               "
"01";"02";"01";"0102010501";"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO                                                                                                                                                                              "
"01";"02";"01";"0102010510";"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETOR REGULADO E A POPULAÇÃO                                                                                                                                  "
"01";"02";"01";"0102010528";"INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO                                                                                                                                                                                                          "
"01";"02";"01";"0102010536";"CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO                                                                                                                                                                                                            "
"01";"02";"01";"0102010544";"CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS                                                                                                                                                                                                           "
"01";"02";"01";"0102010552";"CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE                                                                                                                                                                                                             "
"01";"02";"01";"0102010560";"INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS                                                                                                                                                                                                 "
"01";"02";"01";"0102010579";"INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE                                                                                                                                                                                                   "
"01";"02";"01";"0102010587";"IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS                                                                                                            "
"01";"02";"01";"0102010595";"IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS                                                                                                   "
"01";"02";"01";"0102010609";"IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE                                                                                                     "
"01";"02";"01";"0102010617";"ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA                                                                                                                                                                  "
"01";"02";"01";"0102010625";"ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVISA                                                                                                                                                         "
"01";"02";"01";"0102010633";"ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA                                                                                                                                                           "
"01";"02";"01";"0102010641";"AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS                                                                                                                   "
"01";"02";"01";"0102010650";"AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS                                                                                                          "
"01";"02";"01";"0102010668";"AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE                                                                                                            "
"01";"02";"02";"0102020019";"VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES                                                                                                                                                                                                         "
"01";"02";"02";"0102020027";"ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR                                                                                                                                                                                                               "
"01";"02";"02";"0102020035";"INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR                                                                                                                                                                                                                "
"02";"01";"01";"0201010011";"AMNIOCENTESE                                                                                                                                                                                                                                              "
"02";"01";"01";"0201010020";"BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE                                                                                                                                                                                                             "
"02";"01";"01";"0201010038";"BIOPSIA CIRURGICA DE TIREOIDE                                                                                                                                                                                                                             "
"02";"01";"01";"0201010046";"BIOPSIA DE ANUS E CANAL ANAL                                                                                                                                                                                                                              "
"02";"01";"01";"0201010054";"BIOPSIA DE BACO POR PUNCAO / ASPIRACAO                                                                                                                                                                                                                    "
"02";"01";"01";"0201010062";"BIOPSIA DE BEXIGA                                                                                                                                                                                                                                         "
"02";"01";"01";"0201010070";"BIOPSIA DE BOLSA ESCROTAL                                                                                                                                                                                                                                 "
"02";"01";"01";"0201010089";"BIOPSIA DE CONDUTO AUDITIVO EXTERNO                                                                                                                                                                                                                       "
"02";"01";"01";"0201010097";"BIOPSIA DE CONJUNTIVA                                                                                                                                                                                                                                     "
"02";"01";"01";"0201010100";"BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)                                                                                                                                                                                                                "
"02";"01";"01";"0201010119";"BIOPSIA DE CORNEA                                                                                                                                                                                                                                         "
"02";"01";"01";"0201010127";"BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO                                                                                                                                                                                                                   "
"02";"01";"01";"0201010135";"BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)                                                                                                                                                                           "
"02";"01";"01";"0201010143";"BIOPSIA DE ENDOCARDIO / MIOCARDIO                                                                                                                                                                                                                         "
"02";"01";"01";"0201010151";"BIOPSIA DE ENDOMETRIO                                                                                                                                                                                                                                     "
"02";"01";"01";"0201010160";"BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA                                                                                                                                                                                                  "
"02";"01";"01";"0201010178";"BIOPSIA DE EPIDIDIMO                                                                                                                                                                                                                                      "
"02";"01";"01";"0201010186";"BIOPSIA DE ESCLERA                                                                                                                                                                                                                                        "
"02";"01";"01";"0201010194";"BIOPSIA DE FARINGE/LARINGE                                                                                                                                                                                                                                "
"02";"01";"01";"0201010208";"BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO                                                                                                                                                                                                                    "
"02";"01";"01";"0201010216";"BIOPSIA DE FIGADO POR PUNCAO                                                                                                                                                                                                                              "
"02";"01";"01";"0201010224";"BIOPSIA DE GANGLIO LINFATICO                                                                                                                                                                                                                              "
"02";"01";"01";"0201010232";"BIÓPSIA DE GLÂNDULA SALIVAR                                                                                                                                                                                                                               "
"02";"01";"01";"0201010240";"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR                                                                                                                                                                               "
"02";"01";"01";"0201010259";"BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)                                                                                                                                                                                          "
"02";"01";"01";"0201010267";"BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)                                                                                                                                                                                                "
"02";"01";"01";"0201010275";"BIOPSIA DE MEDULA OSSEA                                                                                                                                                                                                                                   "
"02";"01";"01";"0201010283";"BIOPSIA DE MUSCULO (A CEU ABERTO)                                                                                                                                                                                                                         "
"02";"01";"01";"0201010291";"BIOPSIA DE NERVO                                                                                                                                                                                                                                          "
"02";"01";"01";"0201010305";"BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)                                                                                                                                                                               "
"02";"01";"01";"0201010313";"BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)                                                                                                                                                                                 "
"02";"01";"01";"0201010321";"BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)                                                                                                                                                                                 "
"02";"01";"01";"0201010330";"BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)                                                                                                                                                                                 "
"02";"01";"01";"0201010348";"BIÓPSIA DE OSSO DO CRÂNIO E DA FACE                                                                                                                                                                                                                       "
"02";"01";"01";"0201010356";"BIOPSIA DE PALPEBRA                                                                                                                                                                                                                                       "
"02";"01";"01";"0201010364";"BIOPSIA DE PAVILHAO AURICULAR                                                                                                                                                                                                                             "
"02";"01";"01";"0201010372";"BIOPSIA DE PELE E PARTES MOLES                                                                                                                                                                                                                            "
"02";"01";"01";"0201010380";"BIOPSIA DE PENIS                                                                                                                                                                                                                                          "
"02";"01";"01";"0201010399";"BIOPSIA DE PIRAMIDE NASAL                                                                                                                                                                                                                                 "
"02";"01";"01";"0201010402";"BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA)                                                                                                                                                                                                   "
"02";"01";"01";"0201010410";"BIOPSIA DE PROSTATA                                                                                                                                                                                                                                       "
"02";"01";"01";"0201010429";"BIOPSIA DE PULMAO POR ASPIRACAO                                                                                                                                                                                                                           "
"02";"01";"01";"0201010437";"BIOPSIA DE RIM POR PUNCAO                                                                                                                                                                                                                                 "
"02";"01";"01";"0201010445";"BIOPSIA DE SEIO PARANASAL                                                                                                                                                                                                                                 "
"02";"01";"01";"0201010453";"BIOPSIA DE SINOVIA                                                                                                                                                                                                                                        "
"02";"01";"01";"0201010461";"BIOPSIA DE TESTICULO                                                                                                                                                                                                                                      "
"02";"01";"01";"0201010470";"BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF                                                                                                                                                                                                                "
"02";"01";"01";"0201010488";"BIOPSIA DE URETER                                                                                                                                                                                                                                         "
"02";"01";"01";"0201010496";"BIOPSIA DE URETRA                                                                                                                                                                                                                                         "
"02";"01";"01";"0201010500";"BIOPSIA/PUNÇÃO DE VAGINA                                                                                                                                                                                                                                  "
"02";"01";"01";"0201010518";"BIOPSIA/PUNÇÃO DE VULVA                                                                                                                                                                                                                                   "
"02";"01";"01";"0201010526";"BIÓPSIA DOS TECIDOS MOLES DA BOCA                                                                                                                                                                                                                         "
"02";"01";"01";"0201010534";"BIOPSIA ESTEREOTAXICA                                                                                                                                                                                                                                     "
"02";"01";"01";"0201010542";"BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNETICA / RAIO X                                                                                                                                           "
"02";"01";"01";"0201010550";"BIOPSIA PRE-ESCALENICA                                                                                                                                                                                                                                    "
"02";"01";"01";"0201010569";"BIOPSIA/EXERESE DE NODULO DE MAMA                                                                                                                                                                                                                         "
"02";"01";"01";"0201010585";"PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA                                                                                                                                                                                                                 "
"02";"01";"01";"0201010593";"PUNCAO DE CISTERNA SUB-OCCIPITAL                                                                                                                                                                                                                          "
"02";"01";"01";"0201010607";"PUNCAO DE MAMA POR AGULHA GROSSA                                                                                                                                                                                                                          "
"02";"01";"01";"0201010615";"PUNCAO DE VAGINA                                                                                                                                                                                                                                          "
"02";"01";"01";"0201010623";"PUNCAO EXPLORADORA DO DEFERENTE                                                                                                                                                                                                                           "
"02";"01";"01";"0201010631";"PUNCAO LOMBAR                                                                                                                                                                                                                                             "
"02";"01";"01";"0201010640";"PUNCAO P/ ESVAZIAMENTO                                                                                                                                                                                                                                    "
"02";"01";"01";"0201010658";"PUNCAO VENTRICULAR TRANSFONTANELA                                                                                                                                                                                                                         "
"02";"01";"01";"0201010666";"BIOPSIA DO COLO UTERINO                                                                                                                                                                                                                                   "
"02";"01";"02";"0201020017";"COLETA DE LAVADO BRONCO-ALVEOLAR                                                                                                                                                                                                                          "
"02";"01";"02";"0201020025";"COLETA DE LINFA P/ PESQUISA DE M. LEPRAE                                                                                                                                                                                                                  "
"02";"01";"02";"0201020033";"COLETA DE MATERIAL P/ EXAME CITOPATOLOGICO DE COLO UTERINO                                                                                                                                                                                                "
